Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
F,Road,4,2,3,6,4963,0
F,Ship,4,1,2,8,4277,0
A,Ship,2,3,4,8,4702,0
D,Ship,6,2,4,4,1929,1
C,Ship,3,4,3,1,4965,0
A,Road,3,3,3,6,4918,0
B,Ship,6,5,4,10,1799,0
B,Flight,5,3,7,45,3162,1
B,Ship,6,4,4,5,1327,0
B,Ship,6,4,4,9,1354,1
B,Ship,3,3,2,2,4336,0
D,Ship,4,2,5,5,1874,0
B,Ship,5,5,5,3,1220,0
D,Road,4,5,4,7,4938,0
F,Ship,3,3,8,10,4145,0
B,Ship,2,3,2,2,4611,0
B,Flight,5,2,2,17,2493,1
F,Ship,4,4,5,10,4356,0
D,Ship,3,3,6,10,4221,0
D,Ship,4,5,4,6,4168,1
A,Ship,4,4,3,10,5221,0
F,Road,2,5,4,7,5754,0
F,Ship,4,3,3,8,4826,0
F,Road,4,1,2,8,5328,1
B,Ship,3,2,4,3,4172,1
F,Ship,3,2,3,5,5781,1
F,Ship,4,2,2,4,5233,1
F,Ship,3,2,2,39,3845,1
A,Ship,4,4,3,5,5421,0
B,Flight,3,3,4,8,5595,1
F,Ship,3,4,3,17,1187,1
C,Ship,4,1,3,5,4782,0
D,Ship,4,4,3,3,5031,0
A,Ship,5,1,2,10,5607,1
D,Road,4,3,5,8,1753,1
B,Ship,6,3,6,2,4281,0
F,Ship,2,2,3,64,2867,1
F,Ship,3,3,2,65,3234,1
F,Ship,6,3,6,15,1278,1
F,Road,4,3,2,1,4051,0
F,Ship,3,3,3,46,2460,1
B,Ship,5,3,5,4,1733,1
F,Ship,3,3,4,2,5557,0
F,Ship,3,5,2,10,5776,0
A,Ship,4,4,3,2,4004,0
B,Ship,4,1,2,6,5266,0
F,Ship,3,4,2,56,3976,1
C,Road,4,3,3,10,4068,0
D,Ship,6,5,4,2,1163,0
C,Ship,3,2,3,7,1434,1
B,Ship,3,5,2,48,1256,1
C,Ship,7,1,4,5,1865,1
B,Ship,2,4,4,6,5421,0
B,Ship,3,1,2,52,1125,1
C,Ship,5,5,2,12,2522,1
F,Ship,4,2,2,6,5326,0
B,Road,5,4,2,20,1765,1
F,Ship,4,4,3,6,5959,1
B,Flight,5,1,2,30,1377,1
F,Ship,4,3,2,9,5297,1
F,Ship,5,4,4,7,4552,1
B,Ship,6,5,4,1,1193,1
C,Ship,5,2,2,2,4712,1
F,Ship,3,1,4,1,4608,0
A,Ship,3,4,3,8,4274,1
C,Ship,4,5,3,9,5279,1
D,Ship,3,3,3,2,4742,1
D,Road,2,2,6,6,4044,0
D,Ship,3,5,2,1,5970,0
F,Flight,3,4,3,4,1548,1
F,Ship,3,1,2,10,4137,0
F,Ship,4,5,3,4,4521,0
C,Ship,6,3,6,3,4582,0
F,Road,3,2,2,19,2992,1
D,Ship,6,1,4,5,1867,0
F,Road,5,5,8,49,3282,1
A,Ship,6,3,6,8,1284,1
D,Ship,5,1,5,3,1066,1
C,Ship,4,4,3,7,5098,0
F,Flight,6,4,5,8,4511,1
A,Ship,4,5,2,9,5453,0
F,Ship,6,5,4,7,1600,1
C,Road,4,2,5,10,1720,0
B,Road,5,4,4,19,3298,1
F,Ship,5,1,5,4,4586,1
C,Ship,4,4,3,9,5254,0
F,Flight,4,5,3,3,5000,1
F,Road,2,2,3,6,5854,1
B,Flight,2,4,10,46,2690,1
A,Flight,3,4,3,10,4032,1
B,Ship,3,3,3,49,2446,1
F,Ship,2,3,3,1,5137,0
F,Flight,3,5,2,45,1665,1
B,Road,4,5,5,6,1008,0
C,Road,3,4,4,5,4429,0
F,Ship,5,1,4,24,3446,1
F,Road,3,3,3,45,2181,1
F,Road,3,3,2,58,1730,1
C,Road,4,3,3,3,4480,0
B,Ship,4,5,6,9,1858,0
B,Ship,4,2,3,4,5989,0
B,Ship,3,2,10,9,4256,0
C,Ship,5,2,3,50,3992,1
F,Ship,5,3,3,6,5226,0
F,Ship,5,5,5,10,1719,1
F,Flight,5,2,5,7,1923,0
F,Road,3,4,2,6,4751,1
B,Ship,6,2,4,4,1594,0
D,Ship,2,5,10,1,4709,0
A,Ship,3,1,5,5,4572,0
A,Ship,3,4,3,55,2923,1
C,Ship,6,3,4,9,1401,0
A,Ship,5,1,3,7,5134,1
A,Ship,4,2,5,3,5807,1
A,Ship,4,3,10,8,4337,0
F,Ship,3,1,6,5,3432,1
C,Ship,4,1,3,3,4673,1
A,Flight,4,2,4,5,5751,0
A,Ship,4,2,2,2,4002,0
F,Ship,5,2,6,5,1702,1
C,Ship,5,1,5,4,1557,1
C,Ship,4,1,6,2,5734,0
A,Ship,3,3,2,24,2177,1
A,Flight,4,3,5,5,1590,0
F,Flight,3,1,2,9,4007,1
D,Flight,4,5,5,8,4573,0
A,Ship,3,2,3,4,1337,1
D,Ship,3,4,8,1,2703,1
F,Ship,3,3,5,35,1089,1
D,Ship,4,2,3,4,2061,1
D,Flight,4,1,2,4,5116,0
D,Ship,5,4,8,7,4471,0
F,Ship,5,3,2,44,3382,1
F,Ship,3,2,3,54,3142,1
A,Road,3,5,3,2,5556,1
B,Road,4,1,3,9,4239,0
F,Road,4,4,3,64,1415,1
D,Flight,4,1,4,6,5067,0
F,Ship,3,3,2,8,5871,0
C,Ship,4,1,3,6,4472,0
B,Ship,4,2,3,5,5931,1
C,Ship,5,1,5,9,1893,0
D,Ship,3,2,2,1,5292,0
F,Ship,4,3,2,47,2956,1
C,Road,3,3,10,10,5574,1
D,Ship,3,3,2,17,3153,1
B,Ship,3,1,2,10,5379,1
C,Road,2,4,5,5,4874,1
F,Ship,2,3,3,10,1515,1
C,Flight,3,3,3,1,5632,1
F,Ship,6,4,4,10,1927,0
A,Flight,5,4,5,4,4814,0
C,Ship,5,4,3,8,4310,1
B,Road,4,2,3,59,1717,1
C,Ship,6,5,5,7,1209,1
C,Ship,3,2,2,2,1010,1
A,Road,3,1,4,6,4814,1
C,Ship,3,3,2,2,4350,0
A,Road,4,3,2,18,1537,1
F,Ship,3,3,3,3,5538,0
B,Ship,7,2,5,1,1700,1
C,Ship,3,2,3,8,4982,1
F,Flight,3,3,5,41,1936,1
A,Flight,5,1,2,3,4892,0
F,Ship,3,5,3,4,4268,1
D,Ship,3,3,3,63,1223,1
F,Ship,5,1,2,2,4882,1
A,Flight,3,4,3,7,4020,0
F,Ship,3,1,2,1,5927,1
B,Ship,5,1,4,9,4946,1
F,Ship,3,4,6,9,4668,1
B,Ship,6,4,4,8,1131,0
A,Ship,4,5,3,8,4956,0
F,Road,5,2,5,6,1310,1
B,Ship,4,2,3,7,5823,0
A,Ship,3,4,3,2,5741,1
A,Ship,3,3,3,61,3783,1
B,Road,3,2,2,1,4350,1
F,Road,2,1,3,1,4539,0
A,Ship,4,1,2,5,5182,0
F,Ship,3,4,3,6,5819,0
D,Ship,2,5,5,43,1638,1
C,Road,3,1,3,2,5760,0
F,Ship,6,3,4,3,4842,0
A,Ship,6,3,4,10,1798,0
D,Ship,4,4,3,9,5041,0
D,Ship,3,2,2,3,4442,1
A,Flight,4,3,6,3,5957,1
D,Ship,5,4,2,61,3084,1
B,Road,4,1,5,3,1496,1
F,Road,5,1,2,3,4700,0
F,Ship,3,5,4,9,5526,1
F,Flight,4,3,5,4,1839,1
A,Ship,4,3,5,7,1182,0
A,Ship,4,3,3,6,2787,1
C,Flight,3,4,2,5,4693,1
F,Ship,3,5,2,1,5940,1
D,Ship,6,1,4,1,1735,1
D,Flight,4,4,3,4,5716,1
C,Flight,3,3,3,3,4189,0
F,Ship,7,1,4,2,1983,0
F,Road,5,2,6,38,1338,1
C,Ship,5,4,3,4,4298,0
F,Road,4,2,3,2,4318,1
B,Ship,5,1,5,35,1458,1
B,Ship,3,4,6,3,5910,1
F,Ship,5,3,2,58,2259,1
D,Flight,4,1,2,45,3021,1
D,Flight,3,1,5,58,2544,1
C,Road,6,3,4,8,1741,0
D,Ship,4,4,3,3,5524,1
B,Ship,6,3,4,4,1169,0
D,Flight,5,3,6,5,4585,0
B,Ship,4,3,3,7,4761,0
F,Flight,5,2,2,9,5609,0
F,Ship,6,2,4,37,1093,1
F,Ship,4,5,2,9,5425,1
C,Ship,4,3,3,4,1484,1
F,Road,4,5,3,6,4449,1
F,Road,4,3,3,9,5621,1
A,Flight,3,5,2,56,3547,1
F,Ship,3,3,2,26,3120,1
F,Ship,3,1,3,3,5866,1
A,Ship,4,3,3,4,5259,0
F,Ship,4,3,3,1,4518,0
C,Road,4,3,2,22,2138,1
F,Ship,5,5,3,3,4382,0
C,Ship,4,1,2,40,2327,1
F,Ship,4,4,2,53,3154,1
D,Ship,5,3,4,7,2675,1
A,Ship,5,1,4,10,5280,0
D,Ship,5,3,2,9,4446,0
C,Road,4,5,3,7,4172,0
B,Ship,4,4,3,13,1402,1
F,Ship,5,2,3,14,2984,1
F,Ship,4,5,3,6,5154,1
A,Ship,4,4,10,4,4710,0
D,Road,5,2,2,58,1654,1
B,Ship,3,3,3,2,4059,1
F,Ship,4,4,2,6,5221,0
B,Ship,4,3,3,5,4712,1
F,Ship,5,1,2,20,1082,1
F,Ship,6,5,4,8,5346,1
A,Road,3,1,3,4,2087,1
A,Flight,3,4,3,13,2307,1
B,Ship,3,1,2,21,3120,1
F,Ship,4,3,3,10,4433,1
A,Ship,4,3,5,6,4617,1
F,Ship,5,1,3,7,5814,0
F,Ship,2,2,3,2,4865,1
C,Ship,3,1,3,6,4695,0
C,Flight,4,5,2,30,1782,1
C,Ship,4,2,3,39,2066,1
C,Ship,6,3,4,10,1495,0
D,Ship,3,1,4,9,5193,0
F,Flight,5,3,5,9,1924,0
F,Ship,4,4,2,1,5148,1
B,Ship,4,5,3,6,4557,0
D,Road,5,2,5,27,3118,1
A,Ship,3,4,2,4,5139,1
F,Ship,5,2,4,8,4539,1
F,Ship,3,4,2,5,4574,0
D,Flight,2,2,2,17,1824,1
D,Ship,5,2,4,9,5070,1
B,Ship,4,4,5,12,2708,1
D,Ship,6,3,4,5,1215,1
F,Flight,3,5,2,3,5615,0
D,Ship,4,3,2,4,5194,1
D,Ship,3,2,3,7,4682,0
F,Ship,3,3,3,47,3625,1
A,Flight,5,2,7,47,2174,1
A,Ship,2,5,3,44,1341,1
F,Ship,3,3,3,7,4954,1
F,Ship,3,1,2,14,2074,1
F,Ship,3,1,2,33,2818,1
C,Ship,3,3,2,5,4681,1
F,Flight,3,2,3,57,2113,1
D,Flight,6,4,5,9,4376,1
B,Road,5,5,2,59,3238,1
C,Ship,4,2,5,33,2854,1
B,Road,5,2,2,1,5412,0
F,Ship,4,4,8,39,1345,1
B,Ship,3,1,2,1,4970,1
D,Ship,2,4,5,32,1788,1
F,Ship,2,1,2,58,3626,1
A,Ship,5,4,4,2,4902,1
B,Ship,2,2,4,10,5764,0
B,Ship,6,4,4,8,1480,0
D,Road,6,3,4,1,1317,1
D,Ship,4,4,5,2,1329,1
F,Road,5,1,4,3,1663,1
D,Road,3,3,3,7,5258,1
F,Ship,3,3,3,8,4950,0
C,Flight,3,5,2,1,4573,1
D,Ship,4,1,2,63,3474,1
F,Ship,4,5,3,3,1347,1
D,Road,4,5,2,2,4905,0
B,Road,5,3,5,3,1005,1
B,Flight,5,1,2,5,5441,1
A,Ship,5,1,3,40,2668,1
F,Ship,4,2,3,17,2777,1
B,Ship,3,5,3,3,5156,0
B,Ship,5,4,3,9,3332,1
C,Road,4,4,5,36,3912,1
F,Flight,3,4,8,4,4192,0
C,Ship,3,1,2,1,5054,1
A,Ship,4,3,3,10,5560,1
A,Ship,5,3,3,3,4885,1
F,Ship,4,5,3,3,5193,0
D,Road,5,2,5,5,1876,1
A,Road,3,2,4,48,1079,1
B,Ship,2,4,2,5,5867,0
F,Road,2,2,6,63,1279,1
F,Ship,4,3,4,8,5982,1
B,Ship,4,5,3,1,5167,1
A,Flight,5,3,6,10,1189,1
C,Ship,5,4,4,2,1625,0
F,Flight,3,5,5,27,1891,1
F,Road,3,1,3,3,4222,0
C,Flight,6,4,4,9,1036,1
B,Flight,5,4,5,5,1867,0
B,Ship,5,5,10,9,1724,1
D,Ship,2,4,2,57,1264,1
C,Ship,4,3,3,7,4220,1
D,Flight,4,3,4,10,4118,1
A,Ship,3,1,3,7,4004,1
A,Ship,5,2,5,10,1916,0
F,Ship,5,1,3,4,5033,0
C,Ship,4,5,3,24,1513,1
F,Ship,3,2,3,25,2023,1
D,Ship,5,1,4,1,5098,0
F,Ship,5,5,2,6,3936,1
C,Flight,3,1,3,7,5534,0
F,Ship,3,2,2,6,1185,1
F,Flight,3,4,10,9,4337,0
A,Flight,7,4,4,9,1378,1
D,Flight,3,2,3,8,5149,1
F,Ship,3,2,2,4,4758,1
F,Ship,5,3,2,8,3231,1
A,Road,3,4,3,14,1420,1
D,Flight,4,4,3,1,1165,1
D,Road,4,1,2,4,4122,0
B,Ship,4,5,3,9,5263,0
C,Road,3,1,10,9,5151,1
D,Ship,5,1,3,10,5301,1
F,Ship,7,5,5,28,1100,1
F,Flight,3,1,3,6,4062,1
D,Ship,4,4,3,2,5429,0
C,Ship,4,2,8,9,5146,0
C,Ship,4,1,3,8,1326,1
D,Road,5,4,5,10,1708,1
A,Ship,3,5,2,8,5021,0
C,Ship,3,1,4,27,1184,1
B,Road,4,5,5,3,1572,1
D,Flight,5,2,2,1,2775,1
F,Ship,6,4,6,1,4625,1
D,Road,6,1,4,4,1716,0
A,Flight,7,5,4,3,1930,1
A,Ship,5,1,2,4,5461,0
D,Flight,3,3,5,1,5043,0
D,Ship,2,3,3,4,4862,0
F,Ship,2,5,2,17,3896,1
A,Ship,5,1,5,6,1631,1
F,Road,4,3,3,1,5114,1
D,Ship,4,4,5,8,4233,1
A,Road,6,5,4,2,1243,0
F,Ship,4,4,4,54,1239,1
D,Ship,3,2,3,3,5303,0
C,Ship,5,2,5,9,1876,0
A,Ship,5,2,6,8,5633,0
A,Ship,3,1,3,7,5709,0
F,Ship,3,1,2,19,1898,1
A,Flight,5,3,5,2,1834,1
F,Ship,4,1,3,53,3423,1
F,Ship,4,5,2,2,4721,1
F,Ship,4,2,2,10,5959,0
B,Ship,5,2,6,10,1659,1
A,Ship,4,2,3,6,4417,0
F,Ship,6,3,4,5,1668,1
B,Flight,4,3,3,8,4423,0
C,Ship,4,4,3,8,5206,1
F,Ship,4,2,2,20,1387,1
A,Road,3,2,3,10,4636,1
A,Ship,4,1,3,28,1197,1
D,Flight,3,5,3,9,4306,0
B,Ship,3,4,3,9,5908,1
C,Ship,4,2,3,10,5487,1
F,Ship,5,2,3,65,1667,1
B,Ship,6,5,4,5,1364,1
F,Ship,3,3,2,10,4583,1
F,Ship,4,4,3,8,5884,1
B,Ship,4,3,2,5,4522,1
D,Road,3,5,3,7,4929,0
B,Ship,7,5,4,8,1987,1
F,Ship,7,4,5,3,1433,0
A,Ship,4,1,5,3,4534,1
C,Ship,4,5,3,7,4956,0
D,Ship,4,1,2,3,4665,1
A,Road,4,5,3,3,5438,0
A,Flight,3,1,3,58,1304,1
F,Ship,3,5,2,39,2857,1
F,Flight,6,5,5,10,1686,0
B,Flight,3,5,2,4,5368,1
B,Ship,2,1,3,9,5075,0
A,Ship,3,4,4,8,5209,0
D,Ship,6,2,4,1,1815,1
F,Flight,4,3,2,39,1727,1
C,Ship,5,4,3,3,5555,0
F,Flight,4,3,3,5,5398,1
D,Ship,4,3,2,26,1598,1
A,Ship,3,3,2,38,1521,1
C,Ship,5,5,5,6,1887,1
F,Ship,5,1,4,5,1027,1
A,Ship,3,2,4,8,4867,1
C,Ship,7,2,4,6,1118,1
C,Road,5,1,6,12,2486,1
F,Ship,3,2,3,10,4083,0
F,Flight,3,4,2,4,4681,0
C,Road,3,2,2,33,2321,1
C,Road,7,5,5,8,1578,0
B,Ship,4,1,2,35,1072,1
F,Road,3,1,2,38,1099,1
B,Flight,2,5,6,17,1764,1
F,Ship,5,4,6,5,5481,0
C,Ship,4,2,4,37,2200,1
A,Ship,5,3,3,4,4195,0
B,Flight,3,2,5,6,4694,0
C,Ship,4,4,6,10,1355,1
B,Ship,5,5,2,59,3844,1
A,Ship,4,2,3,34,1619,1
D,Ship,3,2,2,3,4677,1
C,Ship,5,5,3,41,1367,1
A,Flight,6,3,5,10,1483,0
F,Ship,5,5,2,5,4709,0
F,Ship,5,4,3,46,3709,1
F,Ship,4,2,4,9,5288,1
F,Ship,4,2,4,7,5294,0
F,Ship,4,3,3,6,5657,1
F,Ship,4,5,2,8,5234,0
A,Ship,5,3,3,2,4735,0
F,Road,3,1,6,5,4802,1
B,Ship,2,1,4,1,5742,0
B,Flight,4,3,2,6,4276,1
D,Flight,2,1,2,15,2745,1
D,Ship,4,4,6,2,1430,1
D,Ship,3,4,2,4,5926,0
C,Ship,4,2,2,7,5684,0
F,Ship,3,1,4,3,4426,0
F,Flight,2,4,5,4,4034,1
F,Ship,5,5,2,7,5712,1
F,Ship,3,1,3,28,2892,1
C,Road,4,3,4,3,4797,0
F,Ship,3,3,3,2,4036,1
C,Road,4,4,3,9,5016,0
F,Ship,5,5,3,9,5143,1
B,Ship,3,3,3,49,2356,1
F,Road,4,1,7,41,2964,1
A,Ship,4,5,5,8,1040,1
C,Road,3,1,4,9,4571,0
D,Ship,7,1,4,4,1488,0
F,Ship,4,2,2,10,5265,0
A,Ship,2,5,2,3,4389,0
D,Ship,3,2,3,1,5731,1
B,Flight,4,4,3,8,4453,1
F,Ship,4,1,4,63,1881,1
F,Ship,3,4,3,45,2486,1
C,Ship,4,5,4,9,5528,0
F,Flight,5,5,3,18,2415,1
A,Ship,3,1,10,7,2991,1
A,Ship,3,4,3,6,5716,0
C,Ship,5,2,3,63,1807,1
B,Ship,3,4,3,56,2941,1
F,Ship,5,1,4,2,5821,1
C,Ship,4,3,3,3,4677,0
C,Road,4,1,4,54,2611,1
D,Ship,5,2,2,2,5448,0
F,Ship,4,3,5,6,1367,1
C,Ship,7,1,4,1,1405,1
F,Ship,4,2,3,6,5787,1
C,Ship,2,1,3,11,2534,1
D,Ship,4,2,6,2,1069,0
C,Ship,4,1,5,50,1413,1
D,Ship,5,4,3,1,4181,0
A,Ship,2,2,2,1,4407,0
F,Ship,3,3,2,58,3719,1
C,Ship,5,3,4,18,3104,1
B,Ship,5,2,5,3,1079,0
F,Ship,3,2,6,10,4725,1
B,Road,4,5,3,7,4490,0
F,Ship,3,4,2,8,4972,0
B,Ship,3,1,2,6,1490,1
A,Flight,4,4,4,5,5095,0
F,Ship,3,3,2,6,5044,0
D,Flight,4,2,3,33,3602,1
D,Ship,3,2,2,7,5141,1
C,Ship,3,2,3,52,2874,1
B,Ship,4,2,5,9,5178,1
F,Ship,4,4,3,2,5288,1
C,Flight,4,3,2,3,5546,0
D,Flight,3,4,3,7,4636,0
C,Ship,5,1,3,5,5790,0
F,Ship,3,1,3,49,1203,1
B,Ship,6,5,4,7,1249,1
B,Flight,3,1,2,1,1021,1
F,Road,3,3,4,12,2151,1
D,Ship,2,2,3,6,4112,1
C,Ship,5,1,4,10,5306,1
C,Ship,5,3,3,5,5687,1
F,Ship,5,3,3,25,2503,1
F,Ship,3,5,10,1,4996,0
B,Ship,3,3,2,55,3047,1
F,Ship,4,3,2,31,1588,1
C,Ship,3,4,3,7,5089,0
A,Flight,3,5,3,7,4056,1
B,Ship,3,5,3,5,4314,1
D,Ship,4,3,5,5,1841,1
B,Ship,3,1,2,2,5757,1
F,Ship,3,3,3,9,5016,1
A,Ship,3,5,2,3,5761,1
F,Ship,3,2,2,16,1685,1
F,Ship,4,1,3,59,1454,1
D,Ship,3,2,10,6,5580,0
F,Ship,4,3,2,7,5808,1
F,Ship,3,1,3,1,4886,0
C,Ship,5,1,3,37,3023,1
F,Ship,5,2,4,4,4782,1
D,Ship,4,5,5,44,2648,1
C,Ship,4,5,3,4,5089,1
B,Flight,3,3,2,6,4989,1
D,Ship,3,3,4,9,4917,0
D,Ship,4,4,2,5,5266,0
C,Road,4,1,3,9,5886,1
A,Ship,3,5,2,6,5804,0
D,Ship,2,1,2,8,1144,1
C,Flight,4,2,3,1,4064,1
F,Ship,3,2,2,59,3706,1
F,Ship,4,4,3,2,4241,1
F,Ship,4,3,2,33,1980,1
F,Ship,5,5,6,1,1222,0
F,Ship,5,5,3,5,5045,0
F,Ship,4,4,3,1,4774,0
F,Road,5,1,2,6,5281,0
F,Ship,3,4,3,52,3447,1
C,Ship,4,4,4,9,1074,1
C,Road,4,3,3,51,1965,1
D,Ship,3,1,2,7,4639,0
D,Flight,3,2,3,2,4804,0
A,Ship,3,3,4,6,4803,1
C,Ship,6,1,5,7,1223,0
A,Road,5,3,3,2,4688,0
B,Ship,6,3,4,9,1618,0
F,Flight,4,1,2,64,2107,1
F,Ship,4,1,3,17,1923,1
F,Ship,3,5,3,9,5979,1
A,Flight,5,4,3,5,5907,1
F,Ship,5,2,3,5,5756,1
F,Road,4,4,3,1,4717,0
A,Ship,5,1,3,65,2488,1
F,Ship,4,3,3,1,4219,0
B,Flight,4,1,3,42,1197,1
F,Ship,4,4,3,4,5236,0
F,Ship,4,2,10,4,4696,1
A,Ship,5,5,2,63,2583,1
F,Ship,4,4,4,8,1777,1
C,Ship,5,5,3,23,2837,1
B,Ship,6,1,4,2,1326,1
C,Ship,3,5,3,22,3575,1
F,Flight,5,3,4,60,1159,1
F,Road,4,5,5,4,4917,0
D,Road,3,3,3,9,4431,0
C,Flight,4,4,3,9,4224,0
D,Ship,4,3,3,2,3962,1
B,Ship,5,2,3,8,3571,1
F,Ship,5,5,3,6,4109,1
F,Road,3,3,2,52,3236,1
F,Ship,3,2,3,10,4979,1
C,Road,3,3,6,45,1602,1
C,Flight,5,3,4,51,2917,1
F,Ship,2,4,2,6,4758,0
F,Ship,4,5,4,8,5244,1
B,Road,3,4,3,5,4535,1
F,Road,4,2,2,7,4855,1
D,Ship,5,5,5,2,1975,1
F,Ship,2,5,3,21,1113,1
A,Ship,3,2,3,7,4049,1
F,Road,3,1,2,7,5320,0
D,Ship,4,5,2,1,4039,0
A,Road,3,4,3,5,5088,1
C,Ship,4,1,3,8,1136,0
C,Ship,3,4,4,56,1408,1
F,Ship,4,3,3,8,3342,1
D,Ship,6,2,4,8,1635,0
F,Ship,5,4,5,5,1388,1
D,Ship,3,4,4,8,4780,0
D,Flight,5,1,4,20,1110,1
F,Ship,4,5,3,6,5899,1
F,Ship,7,3,5,10,1152,1
D,Ship,4,1,6,6,5841,0
A,Flight,4,5,3,5,4512,0
D,Ship,5,3,3,52,2611,1
A,Ship,6,2,4,3,1665,0
C,Ship,4,3,3,3,4176,0
A,Flight,4,2,3,2,4474,0
D,Flight,3,5,3,1,3667,1
D,Ship,6,5,4,4,1822,1
B,Ship,4,5,2,10,4366,1
F,Ship,5,4,6,2,1765,0
A,Road,4,4,3,43,1651,1
C,Ship,2,4,4,8,4620,0
B,Ship,4,1,10,23,2726,1
A,Ship,4,2,6,3,1732,1
D,Flight,3,5,6,65,1308,1
A,Ship,5,3,6,9,1019,0
B,Ship,3,2,2,8,5907,0
F,Ship,5,1,6,7,1841,1
F,Ship,2,4,6,16,3605,1
F,Ship,4,2,2,53,2673,1
F,Ship,5,3,6,8,1932,0
C,Road,2,1,5,9,1957,1
F,Ship,2,5,3,5,4190,0
C,Ship,4,2,2,7,5026,0
C,Ship,5,1,2,9,5435,0
F,Ship,3,4,7,7,4957,1
D,Ship,3,3,4,2,4746,1
C,Road,3,3,6,24,3702,1
A,Ship,6,4,4,1,1621,0
B,Ship,4,1,3,32,1666,1
A,Ship,4,3,4,16,2362,1
F,Ship,3,3,2,1,5670,0
F,Ship,4,4,2,18,1369,1
F,Ship,5,4,4,40,3381,1
C,Ship,3,3,2,8,4556,0
F,Ship,3,3,2,5,5399,0
C,Flight,5,5,2,14,1497,1
D,Road,3,3,3,5,4664,0
F,Ship,5,5,2,2,4364,0
F,Road,3,3,4,36,3276,1
F,Ship,4,2,5,8,1562,0
F,Road,5,3,3,7,4293,0
B,Ship,4,1,3,3,5618,1
A,Ship,3,5,3,10,4286,1
C,Flight,5,1,2,10,4892,1
C,Flight,4,4,3,61,2484,1
F,Ship,5,2,3,3,5692,0
C,Ship,5,5,2,6,5253,1
F,Ship,4,4,5,8,4192,0
C,Road,5,1,3,3,4908,0
D,Ship,5,2,3,1,4655,1
A,Ship,4,2,7,3,4538,1
F,Ship,3,2,2,41,2036,1
C,Ship,3,3,10,7,4423,0
B,Ship,4,5,2,3,5394,0
C,Ship,3,5,3,19,3753,1
A,Ship,2,4,2,2,5138,0
C,Flight,3,2,3,6,4323,0
F,Flight,4,1,3,10,5106,1
A,Flight,4,5,3,30,2720,1
B,Ship,4,4,2,7,4343,0
F,Ship,5,5,2,8,4350,0
B,Ship,3,1,2,25,1851,1
C,Flight,6,5,4,10,1418,1
A,Ship,4,5,4,4,5265,0
D,Road,4,5,2,4,4518,0
C,Ship,3,5,2,10,4064,1
A,Ship,3,3,3,8,4246,0
B,Ship,5,2,2,4,6000,1
F,Road,4,5,3,1,4131,0
F,Ship,4,3,5,6,1555,1
C,Ship,5,1,5,10,1561,0
F,Ship,6,2,2,9,1715,1
F,Ship,3,2,3,59,3488,1
A,Ship,4,1,3,6,4758,0
B,Ship,4,4,2,4,4648,1
A,Ship,4,4,2,19,1665,1
A,Flight,5,3,3,7,4833,1
C,Ship,4,3,5,4,4666,1
A,Road,4,1,2,2,4581,1
C,Ship,7,3,4,1,1384,1
D,Road,4,2,5,2,1186,1
F,Ship,3,1,2,63,3046,1
F,Flight,3,4,6,57,1949,1
B,Ship,3,2,3,4,5531,0
F,Ship,4,1,3,6,4313,1
A,Ship,3,1,6,1,1293,0
B,Ship,5,5,2,2,5908,0
D,Road,3,1,4,4,4914,1
C,Flight,5,3,2,4,5112,0
B,Ship,5,4,5,2,1713,0
B,Ship,6,2,5,17,1955,1
A,Ship,2,3,5,3,4124,0
D,Ship,5,3,2,3,4440,0
D,Ship,4,1,5,1,4624,1
A,Ship,3,4,2,8,4883,0
F,Ship,5,5,5,8,1067,0
F,Ship,4,1,4,10,5065,0
D,Ship,5,5,4,2,5235,0
F,Ship,3,3,6,49,1078,1
D,Ship,4,3,2,2,1714,1
B,Flight,5,5,5,6,1246,0
B,Ship,6,2,4,35,1625,1
D,Flight,4,3,3,4,5289,1
C,Ship,3,1,2,7,5022,0
D,Ship,4,1,5,1,1605,1
F,Ship,4,5,3,9,1724,1
D,Flight,6,4,4,3,1544,1
F,Ship,6,4,4,10,1171,1
F,Ship,6,5,10,48,1990,1
F,Ship,3,3,7,2,5671,1
F,Ship,5,2,2,2,5627,1
B,Ship,3,3,3,43,1517,1
D,Ship,3,2,2,5,5393,1
B,Ship,4,2,5,9,4720,1
A,Road,4,5,5,4,5824,1
C,Flight,6,1,5,53,1682,1
F,Ship,3,4,3,4,5501,1
B,Road,5,5,6,6,1450,1
D,Ship,6,4,4,3,1852,0
C,Ship,4,3,3,7,2538,1
D,Ship,6,5,4,3,1819,1
A,Road,3,1,2,4,4857,1
F,Road,4,4,3,6,1930,1
C,Road,6,1,4,1,1622,1
A,Ship,3,2,3,2,4231,0
A,Ship,3,3,4,9,4529,1
F,Flight,3,4,2,7,4699,1
C,Ship,6,3,4,52,1667,1
D,Ship,5,4,3,43,2866,1
B,Ship,4,1,3,4,4634,1
A,Ship,5,2,2,3,4030,0
C,Ship,3,5,2,1,5663,0
C,Road,5,3,6,5,5614,1
D,Road,3,5,3,10,1978,1
B,Flight,3,1,7,6,4166,0
D,Ship,4,2,3,1,4731,1
F,Ship,4,2,2,60,3368,1
F,Ship,5,5,5,2,1693,1
B,Road,4,1,3,5,4435,1
F,Ship,5,2,4,2,4893,0
